family	en	ms	zh
booking	How do I order a car?	Bagaimana saya memesan kereta?	我该怎么叫车？
booking	Where do I enter my destination?	Di mana saya masukkan destinasi?	在哪里输入目的地？
booking	Can I check the pickup point before requesting?	Boleh saya semak tempat pengambilan sebelum menempah?	叫车前可以检查上车点吗？
booking	What information do I need before booking?	Apakah maklumat yang diperlukan sebelum menempah?	预订前需要哪些信息？
booking	How does requesting a ride work?	Bagaimana permintaan perjalanan berfungsi?	叫车流程是怎样的？
booking	How can I cancel through the app?	Bagaimana saya membatalkan melalui aplikasi?	怎么在应用内取消行程？
booking	Where are the cancellation conditions shown?	Di mana syarat pembatalan dipaparkan?	在哪里查看取消条件？
booking	Can I review the route first?	Boleh saya semak laluan dahulu?	可以先查看路线吗？
booking	Does the app show an estimate before I book?	Adakah aplikasi menunjukkan anggaran sebelum tempahan?	预订前应用会显示估价吗？
booking	Hi, are you human? How do I book a car?	Hai, adakah anda manusia? Bagaimana menempah kereta?	你好，你是真人吗？怎么叫车？
fare	Why might a fare estimate change?	Mengapa anggaran tambang boleh berubah?	为什么预估车费会改变？
fare	Do tolls affect estimated fares?	Adakah tol mempengaruhi anggaran tambang?	过路费会影响估价吗？
fare	Can traffic change the estimate?	Bolehkah trafik mengubah anggaran?	交通情况会改变估价吗？
fare	What does waiting time mean for fares?	Apakah maksud masa menunggu bagi tambang?	等候时间如何影响车费？
fare	Where can I see payment information?	Di mana saya boleh melihat maklumat bayaran?	在哪里查看付款信息？
fare	How does a route change affect the fare?	Bagaimana perubahan laluan mempengaruhi tambang?	路线改变如何影响车费？
fare	What is the policy for payment problems?	Apakah polisi untuk masalah bayaran?	付款问题的处理政策是什么？
fare	Does distance affect fare estimates?	Adakah jarak mempengaruhi anggaran tambang?	距离会影响预估车费吗？
fare	Can the chatbot itself issue a refund?	Bolehkah chatbot sendiri membuat bayaran balik?	聊天机器人能直接退款吗？
fare	I do not want a refund; where are fare details?	Saya tidak mahu bayaran balik; di mana butiran tambang?	我不想退款，只想知道在哪里看车费详情。
promotion	Where are promotion conditions shown?	Di mana syarat promosi dipaparkan?	在哪里查看优惠条件？
promotion	How do I check voucher validity?	Bagaimana menyemak kesahan baucar?	怎么检查优惠券有效期？
promotion	Can a promotion have usage restrictions?	Bolehkah promosi mempunyai sekatan penggunaan?	优惠可能有使用限制吗？
promotion	Where can I check whether a voucher applies?	Di mana saya boleh semak sama ada baucar terpakai?	在哪里检查优惠券是否适用？
promotion	What information is needed about a promo question?	Apakah maklumat diperlukan untuk soalan promosi?	咨询优惠问题需要提供什么信息？
promotion	Why should I read voucher terms?	Mengapa saya patut membaca syarat baucar?	为什么需要阅读优惠券条款？
promotion	What does the app say about discounts?	Apakah maklumat diskaun dalam aplikasi?	应用中有哪些折扣说明？
promotion	Can promotions affect the estimated price?	Bolehkah promosi mempengaruhi anggaran harga?	优惠会影响预估价格吗？
promotion	Is there a general guide to promo issues?	Adakah panduan umum untuk isu promosi?	有优惠问题的一般指南吗？
promotion	I am not reporting a voucher problem; I want the rules.	Saya bukan melaporkan masalah baucar; saya mahu peraturannya.	我不是要投诉优惠券问题，只想了解规则。
